SPY: {'min_vol_predict': 39172473.0, 'max_vol_predict': 39172473.0, 'min_low_price': 595.3979105186045, 'avg_low_price': 595.3979105186045, 'avg_high_price': 600.5821850481187, 'max_high_price': 600.5821850481187, 'min_close_predict': 600.5418499755859, 'max_close_predict': 600.5418499755859}
SPY: {'min_vol_predict': 45970404.0, 'max_vol_predict': 45970404.0, 'min_low_price': 595.6850519550111, 'avg_low_price': 595.6850519550111, 'avg_high_price': 600.8963501883421, 'max_high_price': 600.8963501883421, 'min_close_predict': 600.5593542480469, 'max_close_predict': 600.5593542480469}
SPY: {'min_vol_predict': 38709363.0, 'max_vol_predict': 38709363.0, 'min_low_price': 595.3865109824717, 'avg_low_price': 595.3865109824717, 'avg_high_price': 600.5821850481187, 'max_high_price': 600.5821850481187, 'min_close_predict': 600.5260028076171, 'max_close_predict': 600.5260028076171}
SPY: {'min_vol_predict': 36941144.0, 'max_vol_predict': 36941144.0, 'min_low_price': 596.2894916191602, 'avg_low_price': 596.2894916191602, 'avg_high_price': 601.1841703218612, 'max_high_price': 601.1841703218612, 'min_close_predict': 601.133076171875, 'max_close_predict': 601.133076171875}
SPY: {'min_vol_predict': 38536095.0, 'max_vol_predict': 38536095.0, 'min_low_price': 595.3865109824717, 'avg_low_price': 595.3865109824717, 'avg_high_price': 600.5821850481187, 'max_high_price': 600.5821850481187, 'min_close_predict': 600.6746215820312, 'max_close_predict': 600.6746215820312}
SPY: {'min_vol_predict': 50138294.0, 'max_vol_predict': 50138294.0, 'min_low_price': 594.3707346091273, 'avg_low_price': 594.3707346091273, 'avg_high_price': 600.6087213253678, 'max_high_price': 600.6087213253678, 'min_close_predict': 600.0272454833985, 'max_close_predict': 600.0272454833985}
SPY: {'min_vol_predict': 39489161.0, 'max_vol_predict': 39489161.0, 'min_low_price': 595.3537126072288, 'avg_low_price': 595.3537126072288, 'avg_high_price': 600.5704766663249, 'max_high_price': 600.5704766663249, 'min_close_predict': 600.4903723144531, 'max_close_predict': 600.4903723144531}
SPY: {'min_vol_predict': 38759078.0, 'max_vol_predict': 38759078.0, 'min_low_price': 595.3865109824717, 'avg_low_price': 595.3865109824717, 'avg_high_price': 600.5821850481187, 'max_high_price': 600.5821850481187, 'min_close_predict': 600.5260028076171, 'max_close_predict': 600.5260028076171}
SPY: {'min_vol_predict': 37952056.96, 'max_vol_predict': 37952056.96, 'min_low_price': 594.1817123110425, 'avg_low_price': 594.1817123110425, 'avg_high_price': 600.925614562296, 'max_high_price': 600.925614562296, 'min_close_predict': 600.9766413635252, 'max_close_predict': 600.9766413635252}
SPY: {'min_vol_predict': 42141503.0, 'max_vol_predict': 42141503.0, 'min_low_price': 595.647727976195, 'avg_low_price': 595.647727976195, 'avg_high_price': 600.6950240936583, 'max_high_price': 600.6950240936583, 'min_close_predict': 600.6567205810547, 'max_close_predict': 600.6567205810547}
SPY: {'min_vol_predict': 44443610.8, 'max_vol_predict': 44443610.8, 'min_low_price': 594.4070071237678, 'avg_low_price': 594.4070071237678, 'avg_high_price': 601.0280007161192, 'max_high_price': 601.0280007161192, 'min_close_predict': 600.6569528503418, 'max_close_predict': 600.6569528503418}
SPY: {'min_vol_predict': 43586211.87200005, 'max_vol_predict': 43586211.87200005, 'min_low_price': 595.5189468760261, 'avg_low_price': 595.5189468760261, 'avg_high_price': 601.8382098028189, 'max_high_price': 601.8382098028189, 'min_close_predict': 601.0630647424314, 'max_close_predict': 601.0630647424314}
SPY: {'min_vol_predict': 38424974.0, 'max_vol_predict': 38424974.0, 'min_low_price': 595.3865109824717, 'avg_low_price': 595.3865109824717, 'avg_high_price': 600.5821850481187, 'max_high_price': 600.5821850481187, 'min_close_predict': 600.6746215820312, 'max_close_predict': 600.6746215820312}
SPY: {'min_vol_predict': 39102588.14, 'max_vol_predict': 39102588.14, 'min_low_price': 594.2268565372858, 'avg_low_price': 594.2268565372858, 'avg_high_price': 601.0793000820762, 'max_high_price': 601.0793000820762, 'min_close_predict': 600.9109735107422, 'max_close_predict': 600.9109735107422}
SPY: {'min_vol_predict': 39595506.04779997, 'max_vol_predict': 39595506.04779997, 'min_low_price': 595.0949848053789, 'avg_low_price': 595.0949848053789, 'avg_high_price': 601.9535331457108, 'max_high_price': 601.9535331457108, 'min_close_predict': 601.0089551330565, 'max_close_predict': 601.0089551330565}
SPY: {'min_vol_predict': 39174579.56694801, 'max_vol_predict': 39174579.56694801, 'min_low_price': 595.5511316184452, 'avg_low_price': 595.5511316184452, 'avg_high_price': 602.2111156536796, 'max_high_price': 602.2111156536796, 'min_close_predict': 601.2856510252068, 'max_close_predict': 601.2856510252068}
SPY: {'min_vol_predict': 38877410.89855886, 'max_vol_predict': 38877410.89855886, 'min_low_price': 595.5058904132362, 'avg_low_price': 595.5058904132362, 'avg_high_price': 602.0954227695145, 'max_high_price': 602.0954227695145, 'min_close_predict': 601.2701275285627, 'max_close_predict': 601.2701275285627}
