,Close Price Prediction,Off-by Percentage,Difference,index,Current Close
820,0.28394114345312116,0.12826807979400165,0.03228008121252057,1733,0.2516610622406006
877,0.28453882187604906,0.10335860541120247,0.026654557883739494,5434,0.25788426399230957
2140,0.36323304593563077,0.07676385778998904,0.025895343422889683,2626,0.3373377025127411
2188,62.54288677215576,0.06286075290917766,3.698972740173339,9899,58.84391403198242
113,14.466569271087646,0.05652454604079905,0.7739680671691893,8102,13.692601203918457
1770,0.7498707395792007,0.04802489136964171,0.034362218976020764,4821,0.7155085206031799
2760,0.1696771675348282,0.04783829257501446,0.0077464872598648205,4261,0.16193068027496338
1952,0.1401479309797287,0.04198468769713427,0.005646980404853813,663,0.13450095057487488
1820,0.05954576268792153,0.04187675550583213,0.0023933573067188296,311,0.0571524053812027
2365,0.5370878332853317,0.041030289544696175,0.021168326735496512,4766,0.5159195065498352
912,0.05720824763178825,0.04007557057545382,0.0022043140232562985,337,0.05500393360853195
1522,2.520467643737793,0.03941237001701148,0.09557092666625966,7053,2.424896717071533
131,0.14730919227004052,0.03880479081104468,0.005502768605947506,1519,0.14180642366409302
2258,62.635600051879884,0.038621908037801835,2.329150161743165,9897,60.30644989013672
369,4.391669654846192,0.03856783619268433,0.16308727264404332,7005,4.228582382202148
2615,0.06466359447687864,0.03779494063350678,0.0023549514636397317,1127,0.06230864301323891
2480,0.7344466859102249,0.03738743178816228,0.02646945059299466,4914,0.7079772353172302
2064,0.27065437972545625,0.03733627435425874,0.00974151432514192,3757,0.26091286540031433
290,0.2668233078718185,0.03624998553225325,0.009333984255790684,4479,0.25748932361602783
741,0.1916237723827362,0.035822850513044124,0.0066271078586578325,4214,0.18499666452407837
2353,0.753720178604126,0.03568888037098739,0.025972499847412123,4962,0.7277476787567139
2222,0.7009046202898026,0.03472943657044233,0.02352501213550573,4915,0.6773796081542969
36,0.7917176592350006,0.034376306469889234,0.026311825513839704,4836,0.7654058337211609
666,0.15084911212325097,0.03373621046844386,0.004922994226217281,3935,0.1459261178970337
16,0.33069636434316635,0.03311663323444097,0.010600497424602506,4661,0.32009586691856384
1469,0.6969075328111649,0.032415928892537124,0.02188159286975866,4781,0.6750259399414062
523,0.33848598778247835,0.03171802862796656,0.010406048893928543,5127,0.3280799388885498
2560,4.798246922492981,0.031535033010669046,0.14668709278106729,6971,4.651559829711914
142,0.34313215762376786,0.03143241444545886,0.010456790030002605,1732,0.33267536759376526
945,0.20505091831088065,0.03125720633089191,0.006215053647756569,5639,0.19883586466312408
2634,0.07885704271495342,0.030957430394387427,0.0023679070919752077,146,0.07648913562297821
2146,0.24205137103796004,0.030469825131274872,0.007157184779643999,4480,0.23489418625831604
1140,0.2691964456439018,0.0300239011813866,0.007846737802028658,3604,0.26134970784187317
161,0.06329287346452475,0.030001716260180042,0.0018435841426253374,229,0.061449289321899414
2537,0.09645839221775532,0.02967812682057777,0.0027801934629678726,41,0.09367819875478745
318,2.087649128437042,0.029653978054707052,0.06012418031692501,6349,2.027524948120117
1987,0.47546780467033384,0.029629144979493267,0.013682309389114355,4750,0.4617854952812195
1028,0.9060379105806351,0.02927921173788312,0.02577344954013827,4989,0.8802644610404968
2161,0.24806105494499206,0.02924229542651666,0.007047781348228449,5533,0.2410132735967636
1990,0.09413797430694103,0.02849567494060598,0.0026082026213407467,36,0.09152977168560028
1936,0.8015117543935776,0.028201651651215385,0.021983970999717717,4940,0.7795277833938599
2584,0.22235170364379883,0.027930932338480385,0.0060417389869689975,5459,0.21630996465682983
2663,0.06669174455106258,0.027817042844510507,0.0018049585074186303,177,0.06488678604364395
1724,0.31167870193719865,0.02760203012826212,0.008371883928775803,2655,0.30330681800842285
2374,0.2760614636540413,0.027067019522963146,0.007275241911411268,4502,0.26878622174263
924,0.2899094921350479,0.026455803751092362,0.0074721080064773515,4478,0.28243738412857056
1729,14.866416673660279,0.026104193834212565,0.3782031345367436,8261,14.488213539123535
2076,0.2535642825067043,0.026022880794769825,0.00643111690878867,4555,0.24713316559791565
145,0.10578397788107395,0.025712827127319104,0.0026518193632364268,489,0.10313215851783752
1609,2.5727646374702453,0.02555778980819016,0.06411552667617793,6603,2.5086491107940674
172,0.2547444072365761,0.024941972780379632,0.006199207603931445,4620,0.24854519963264465
833,0.09909119069576264,0.02487577466008664,0.0024051403999328647,1038,0.09668605029582977
2509,0.22574996784329415,0.024755741049398643,0.005453599840402612,3287,0.22029636800289154
2557,0.21218738794326783,0.024460048973831642,0.005066194534301766,4389,0.20712119340896606
967,16.774806365966796,0.02434657244902769,0.39870201110839787,8069,16.3761043548584
1200,0.8117398619651794,0.024008384715834212,0.019031643867492676,4802,0.7927082180976868
1704,10.894356861114503,0.02380511285904354,0.25331129074096737,7735,10.641045570373535
1309,0.0778686611354351,0.023786860120648106,0.00180921539664268,1072,0.07605944573879242
1534,111.12554496765136,0.023724980040963184,2.575351181030271,10057,108.5501937866211
2013,0.08269030436873435,0.02356261427287515,0.0019035471975803325,707,0.08078675717115402
260,0.33248879671096804,0.02349195410333993,0.0076315319538116655,2933,0.32485726475715637
2450,0.25822414219379425,0.023436687720717303,0.005913329720497129,4618,0.2523108124732971
463,3.8967423462867736,0.023381565193565053,0.0890302681922912,6728,3.8077120780944824
1384,3.7612051010131835,0.02333037990391395,0.08574976921081534,6852,3.675455331802368
1198,3.1842216086387634,0.023179163313359667,0.07213555097579949,7042,3.112086057662964
1232,0.06375248845666646,0.023172474533280713,0.0014438454434275577,213,0.06230864301323891
2317,3.9400184559822082,0.023090887962945533,0.08892516374588011,7007,3.851093292236328
320,0.047466461956501005,0.022776273694133556,0.001057033836841581,409,0.046409428119659424
974,3.2069764709472657,0.02276804993583291,0.0713911628723145,7026,3.135585308074951
485,66.13154335021973,0.02268064402027528,1.466641616821292,9894,64.66490173339844
2217,0.09931158572435379,0.022610917822879814,0.002195875346660617,35,0.09711571037769318
1647,0.10499696768820285,0.022341745085144585,0.0022945512086152975,34,0.10270241647958755
